name,address,kids,income
Abbot Sloan,"P.O. Box 505, 5190 Maecenas Street",7,$1705.05
Brody Diaz,"P.O. Box 533, 419 Ante Av.",3,$6148.79
Kibo Mann,"P.O. Box 324, 6829 Imperdiet Rd.",3,$2378.02
Cedric Page,710-2154 Augue St.,5,$5533.57
Xenos Pearson,3519 Donec Rd.,5,$6468.25
Vaughan Chavez,"9402 Posuere, Rd.",1,$4634.76
Flynn Rivas,"P.O. Box 431, 7283 Adipiscing Ave",0,$8863.35
Ralph Whitney,733 Dui Rd.,1,$1667.52
Jacob Mckay,610-3209 Nunc Street,5,$8831.66
Fritz Hunter,"P.O. Box 222, 5042 Ridiculus Rd.",2,$6346.27
Reece Stark,775-5007 Ac Rd.,1,$1907.88
Bernard Vang,"P.O. Box 433, 8915 Ac, Street",6,$2830.96
Hasad Alexander,Ap #870-6982 Elit Rd.,7,$8262.56
Felix Alvarado,525-1756 Vel Ave,1,$8686.96
Hashim Frost,177-676 Commodo Road,5,$6722.60
Ali Love,Ap #837-9340 Sodales Rd.,5,$7461.54
Mufutau Short,7439 Magnis St.,7,$4264.19
Dalton Mcfarland,"P.O. Box 563, 132 Odio Avenue",6,$3879.83
Calvin Kent,"P.O. Box 639, 5144 Proin Ave",5,$1234.22
Luke Jimenez,993-2473 Mollis. Ave,0,$6870.10
Cedric Reid,3252 Tincidunt Av.,5,$5863.94
Thaddeus Keith,"P.O. Box 216, 9901 Nullam Rd.",2,$3297.00
Ross Malone,628-7516 Morbi Rd.,7,$1113.12
Hyatt Pope,4571 Vitae St.,2,$3075.07
Jackson Mcfadden,555-7305 Sed Rd.,1,$3598.23
Harper Delgado,Ap #735-8697 Cursus Road,3,$6398.42
Jerome Wilkins,"P.O. Box 568, 2662 Iaculis Street",0,$1369.03
Lamar Holden,9374 Nam Avenue,3,$2252.85
Castor Lowe,683-7923 Ornare. Rd.,7,$3265.11
Geoffrey Monroe,"Ap #989-6675 Elementum, Street",7,$2626.56
Fitzgerald Lyons,"587-4934 Vel, Road",2,$6544.29
Avram Newton,Ap #607-2670 Euismod Road,6,$3442.26
Reed West,"Ap #337-6050 Auctor, Avenue",6,$4754.92
Reed Keller,7564 Vehicula. Av.,5,$8027.72
Lee Phillips,763-7659 Donec Av.,0,$1072.33
Cairo Richmond,Ap #934-702 Ultricies Road,3,$2866.51
Colt Stanton,7958 Gravida Rd.,7,$3396.70
Denton Medina,Ap #506-5866 Aliquam Rd.,4,$6603.29
Hilel Shaw,"P.O. Box 383, 7303 Sed, Rd.",0,$7452.32
Theodore Carpenter,"P.O. Box 559, 3885 Dis Ave",6,$8966.06
Cruz Guerra,Ap #927-3141 Lectus Rd.,6,$6203.33
Marvin Fletcher,Ap #586-6523 Urna Avenue,0,$2550.46
Kelly Martinez,"3214 Vulputate, Ave",1,$7123.84
Hashim Hays,"Ap #981-2863 Id, Rd.",6,$7389.56
Ezra Watts,9900 Et Street,0,$1214.59
Colton Mckinney,757-868 Pellentesque Rd.,2,$8135.76
Jesse Blackburn,"P.O. Box 391, 6396 Condimentum. Av.",3,$9274.82
Hiram Conrad,"P.O. Box 291, 3130 Semper Rd.",0,$8007.44
Samuel Pierce,Ap #857-5849 Velit. Ave,0,$2340.39
Gavin Stout,"Ap #487-9672 A, Ave",2,$4111.74
Hayden Chapman,1264 Id Road,6,$6911.47
Talon Kelley,786-4207 Ipsum St.,4,$3019.49
Wallace Vazquez,"P.O. Box 711, 6220 Diam Ave",1,$4819.14
Beck Palmer,877-6280 Mauris St.,0,$2090.73
Malik Miles,"P.O. Box 825, 9285 Commodo Road",0,$5994.42
Berk Mccoy,Ap #761-5028 Non Street,1,$9938.31
Lance Potter,"P.O. Box 634, 3974 In, Rd.",0,$8497.01
Eric Compton,"P.O. Box 409, 1720 Malesuada. St.",4,$4706.75
Micah Ryan,670-7613 Ultricies Av.,2,$9310.50
Herrod Parsons,8772 Etiam Avenue,6,$4448.33
Hasad Callahan,"636-5938 Vulputate, Rd.",5,$6959.83
Fuller Sears,Ap #991-8536 Eget Road,5,$1389.37
Kadeem Marsh,"P.O. Box 655, 5516 Turpis. St.",0,$3294.89
Stewart Dalton,"P.O. Box 131, 8619 Nunc Rd.",1,$9863.01
Jordan Pollard,408-930 Bibendum St.,7,$6150.51
Steven Quinn,317-7985 Duis Avenue,1,$9694.01
Rahim Cohen,8970 Ultrices Road,4,$5916.17
Michael Perez,Ap #250-3928 A Av.,2,$8100.34
